2022-12-20 16:18:36,024 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,074 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,187 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,367 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,473 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,583 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,631 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:36,749 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,145 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,203 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,341 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,381 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,532 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,647 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,750 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:37,866 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,208 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,269 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,370 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,490 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,648 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,719 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,822 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:38,953 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,038 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,319 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,435 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,468 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,654 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,721 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,860 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:39,965 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,029 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,213 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,242 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,449 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,665 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
